trace_id,policy,disposition
capability_substitution-01,C0,not_triggered
capability_substitution-01,C1,denied
capability_substitution-01,C2,allowed
capability_substitution-01,C2E,denied
capability_substitution-01,C3,denied
capability_substitution-02,C0,not_triggered
capability_substitution-02,C1,denied
capability_substitution-02,C2,allowed
capability_substitution-02,C2E,denied
capability_substitution-02,C3,denied
capability_substitution-03,C0,not_triggered
capability_substitution-03,C1,denied
capability_substitution-03,C2,allowed
capability_substitution-03,C2E,denied
capability_substitution-03,C3,denied
capability_substitution-04,C0,not_triggered
capability_substitution-04,C1,denied
capability_substitution-04,C2,allowed
capability_substitution-04,C2E,denied
capability_substitution-04,C3,denied
capability_substitution-05,C0,not_triggered
capability_substitution-05,C1,denied
capability_substitution-05,C2,allowed
capability_substitution-05,C2E,denied
capability_substitution-05,C3,denied
session_substitution-01,C0,not_triggered
session_substitution-01,C1,denied
session_substitution-01,C2,allowed
session_substitution-01,C2E,denied
session_substitution-01,C3,denied
session_substitution-02,C0,not_triggered
session_substitution-02,C1,denied
session_substitution-02,C2,allowed
session_substitution-02,C2E,denied
session_substitution-02,C3,denied
session_substitution-03,C0,not_triggered
session_substitution-03,C1,denied
session_substitution-03,C2,allowed
session_substitution-03,C2E,denied
session_substitution-03,C3,denied
session_substitution-04,C0,not_triggered
session_substitution-04,C1,denied
session_substitution-04,C2,allowed
session_substitution-04,C2E,denied
session_substitution-04,C3,denied
session_substitution-05,C0,not_triggered
session_substitution-05,C1,denied
session_substitution-05,C2,allowed
session_substitution-05,C2E,denied
session_substitution-05,C3,denied
delegation-01,C0,not_triggered
delegation-01,C1,denied
delegation-01,C2,allowed
delegation-01,C2E,denied
delegation-01,C3,denied
delegation-02,C0,not_triggered
delegation-02,C1,denied
delegation-02,C2,allowed
delegation-02,C2E,denied
delegation-02,C3,denied
delegation-03,C0,not_triggered
delegation-03,C1,denied
delegation-03,C2,allowed
delegation-03,C2E,denied
delegation-03,C3,denied
delegation-04,C0,not_triggered
delegation-04,C1,denied
delegation-04,C2,allowed
delegation-04,C2E,denied
delegation-04,C3,denied
delegation-05,C0,not_triggered
delegation-05,C1,denied
delegation-05,C2,allowed
delegation-05,C2E,denied
delegation-05,C3,denied
benign_fallback-01,C0,not_triggered
benign_fallback-01,C1,forwarded
benign_fallback-01,C2,forwarded
benign_fallback-01,C2E,forwarded
benign_fallback-01,C3,forwarded
benign_fallback-02,C0,not_triggered
benign_fallback-02,C1,forwarded
benign_fallback-02,C2,forwarded
benign_fallback-02,C2E,forwarded
benign_fallback-02,C3,forwarded
benign_fallback-03,C0,not_triggered
benign_fallback-03,C1,forwarded
benign_fallback-03,C2,forwarded
benign_fallback-03,C2E,forwarded
benign_fallback-03,C3,forwarded
benign_fallback-04,C0,not_triggered
benign_fallback-04,C1,forwarded
benign_fallback-04,C2,forwarded
benign_fallback-04,C2E,forwarded
benign_fallback-04,C3,forwarded
benign_fallback-05,C0,not_triggered
benign_fallback-05,C1,forwarded
benign_fallback-05,C2,forwarded
benign_fallback-05,C2E,forwarded
benign_fallback-05,C3,forwarded
