stratum,changed_field,policy,disposition,restriction
partial_binding,None,C0,forwarded,False
partial_binding,None,C1,blocked,True
partial_binding,None,C2,forwarded,False
partial_binding,None,C2E,forwarded,False
partial_binding,None,C3,blocked,True
mismatched_binding,subject,C0,forwarded,False
mismatched_binding,subject,C1,blocked,True
mismatched_binding,subject,C2,forwarded,False
mismatched_binding,subject,C2E,forwarded,False
mismatched_binding,subject,C3,blocked,True
stale,None,C0,rejected_before_policy,False
stale,None,C1,rejected_before_policy,False
stale,None,C2,rejected_before_policy,False
stale,None,C2E,rejected_before_policy,False
stale,None,C3,rejected_before_policy,False
replayed,None,C0,rejected_before_policy,False
replayed,None,C1,rejected_before_policy,False
replayed,None,C2,rejected_before_policy,False
replayed,None,C2E,rejected_before_policy,False
replayed,None,C3,rejected_before_policy,False
sender_suggested_only,None,C0,forwarded,False
sender_suggested_only,None,C1,blocked,True
sender_suggested_only,None,C2,forwarded,False
sender_suggested_only,None,C2E,forwarded,False
sender_suggested_only,None,C3,blocked,True
substitution_no_local_relation,session,C0,forwarded,False
substitution_no_local_relation,session,C1,blocked,True
substitution_no_local_relation,session,C2,forwarded,False
substitution_no_local_relation,session,C2E,forwarded,False
substitution_no_local_relation,session,C3,blocked,True
substitution_with_local_relation,session,C0,forwarded,False
substitution_with_local_relation,session,C1,blocked,True
substitution_with_local_relation,session,C2,forwarded,False
substitution_with_local_relation,session,C2E,blocked,True
substitution_with_local_relation,session,C3,blocked,True
partial_binding,None,C0,forwarded,False
partial_binding,None,C1,blocked,True
partial_binding,None,C2,forwarded,False
partial_binding,None,C2E,forwarded,False
partial_binding,None,C3,blocked,True
mismatched_binding,subject,C0,forwarded,False
mismatched_binding,subject,C1,blocked,True
mismatched_binding,subject,C2,forwarded,False
mismatched_binding,subject,C2E,forwarded,False
mismatched_binding,subject,C3,blocked,True
stale,None,C0,rejected_before_policy,False
stale,None,C1,rejected_before_policy,False
stale,None,C2,rejected_before_policy,False
stale,None,C2E,rejected_before_policy,False
stale,None,C3,rejected_before_policy,False
replayed,None,C0,rejected_before_policy,False
replayed,None,C1,rejected_before_policy,False
replayed,None,C2,rejected_before_policy,False
replayed,None,C2E,rejected_before_policy,False
replayed,None,C3,rejected_before_policy,False
sender_suggested_only,None,C0,forwarded,False
sender_suggested_only,None,C1,blocked,True
sender_suggested_only,None,C2,forwarded,False
sender_suggested_only,None,C2E,forwarded,False
sender_suggested_only,None,C3,blocked,True
substitution_no_local_relation,session,C0,forwarded,False
substitution_no_local_relation,session,C1,blocked,True
substitution_no_local_relation,session,C2,forwarded,False
substitution_no_local_relation,session,C2E,forwarded,False
substitution_no_local_relation,session,C3,blocked,True
substitution_with_local_relation,session,C0,forwarded,False
substitution_with_local_relation,session,C1,blocked,True
substitution_with_local_relation,session,C2,forwarded,False
substitution_with_local_relation,session,C2E,blocked,True
substitution_with_local_relation,session,C3,blocked,True
partial_binding,None,C0,forwarded,False
partial_binding,None,C1,blocked,True
partial_binding,None,C2,forwarded,False
partial_binding,None,C2E,forwarded,False
partial_binding,None,C3,blocked,True
mismatched_binding,subject,C0,forwarded,False
mismatched_binding,subject,C1,blocked,True
mismatched_binding,subject,C2,forwarded,False
mismatched_binding,subject,C2E,forwarded,False
mismatched_binding,subject,C3,blocked,True
stale,None,C0,rejected_before_policy,False
stale,None,C1,rejected_before_policy,False
stale,None,C2,rejected_before_policy,False
stale,None,C2E,rejected_before_policy,False
stale,None,C3,rejected_before_policy,False
replayed,None,C0,rejected_before_policy,False
replayed,None,C1,rejected_before_policy,False
replayed,None,C2,rejected_before_policy,False
replayed,None,C2E,rejected_before_policy,False
replayed,None,C3,rejected_before_policy,False
sender_suggested_only,None,C0,forwarded,False
sender_suggested_only,None,C1,blocked,True
sender_suggested_only,None,C2,forwarded,False
sender_suggested_only,None,C2E,forwarded,False
sender_suggested_only,None,C3,blocked,True
substitution_no_local_relation,session,C0,forwarded,False
substitution_no_local_relation,session,C1,blocked,True
substitution_no_local_relation,session,C2,forwarded,False
substitution_no_local_relation,session,C2E,forwarded,False
substitution_no_local_relation,session,C3,blocked,True
substitution_with_local_relation,session,C0,forwarded,False
substitution_with_local_relation,session,C1,blocked,True
substitution_with_local_relation,session,C2,forwarded,False
substitution_with_local_relation,session,C2E,blocked,True
substitution_with_local_relation,session,C3,blocked,True
partial_binding,None,C0,forwarded,False
partial_binding,None,C1,blocked,True
partial_binding,None,C2,forwarded,False
partial_binding,None,C2E,forwarded,False
partial_binding,None,C3,blocked,True
mismatched_binding,capability_class,C0,forwarded,False
mismatched_binding,capability_class,C1,blocked,True
mismatched_binding,capability_class,C2,forwarded,False
mismatched_binding,capability_class,C2E,forwarded,False
mismatched_binding,capability_class,C3,blocked,True
stale,None,C0,rejected_before_policy,False
stale,None,C1,rejected_before_policy,False
stale,None,C2,rejected_before_policy,False
stale,None,C2E,rejected_before_policy,False
stale,None,C3,rejected_before_policy,False
replayed,None,C0,rejected_before_policy,False
replayed,None,C1,rejected_before_policy,False
