stratum,policy,disposition,restriction
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_positive_exact,C0,forwarded,False
external_positive_exact,C1,blocked,True
external_positive_exact,C2,blocked,True
external_positive_exact,C2E,blocked,True
external_positive_exact,C3,blocked,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
external_negative,C0,forwarded,False
external_negative,C1,forwarded,False
external_negative,C2,forwarded,False
external_negative,C2E,forwarded,False
external_negative,C3,constrained,True
