architecture,cache_hit_rate,component,eligibility,extraction_timestamp,extraction_version,p50_ms,p95_ms,p99_ms,sample_count,scenario,selection,source_artifact_digest,source_relative_path,source_row_event_identifier,strategy,treatment
local,0.0,authorization_api,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.013541,0.01975,0.0225,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:disabled:authorization_api,not-applicable,performance-only
local,0.0,context_signing,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.263958,0.306083,0.327833,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:disabled:context_signing,not-applicable,performance-only
local,0.0,federation,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.263958,0.306083,0.327833,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:disabled:federation,not-applicable,performance-only
local,0.0,gateway_enforcement,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.019208,0.024584,0.025541,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:disabled:gateway_enforcement,not-applicable,performance-only
local,0.0,observation_ingestion,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.153625,0.297375,0.310708,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:disabled:observation_ingestion,not-applicable,performance-only
local,0.0,resolver,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.013541,0.01975,0.0225,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:disabled:resolver,not-applicable,performance-only
local,0.0,validation,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.263958,0.306083,0.327833,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:disabled:validation,not-applicable,performance-only
local,0.0,warning_to_enforcement,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.287124,0.331624,0.349583,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:disabled:warning_to_enforcement,not-applicable,performance-only
local,0.95,authorization_api,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.000291,0.000667,0.015708,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:enabled_fixed_ttl_5s:authorization_api,not-applicable,performance-only
local,0.95,context_signing,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.271333,0.302583,0.42475,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:enabled_fixed_ttl_5s:context_signing,not-applicable,performance-only
local,0.95,federation,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.271333,0.302583,0.42475,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:enabled_fixed_ttl_5s:federation,not-applicable,performance-only
local,0.95,gateway_enforcement,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.021791,0.02725,0.055834,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:enabled_fixed_ttl_5s:gateway_enforcement,not-applicable,performance-only
local,0.95,observation_ingestion,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.160125,0.173958,0.264916,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:enabled_fixed_ttl_5s:observation_ingestion,not-applicable,performance-only
local,0.95,resolver,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.000291,0.000667,0.015708,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:enabled_fixed_ttl_5s:resolver,not-applicable,performance-only
local,0.95,validation,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.271333,0.302583,0.42475,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:enabled_fixed_ttl_5s:validation,not-applicable,performance-only
local,0.95,warning_to_enforcement,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.294041,0.328208,0.480584,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/gateway-latency.json,gateway-latency.json:enabled_fixed_ttl_5s:warning_to_enforcement,not-applicable,performance-only
local,,federation,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.263958,0.306083,0.327833,20,harness,disabled,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/federation-latency.json,federation-latency.json:disabled:federation,not-applicable,performance-only
local,,federation,performance-selection,2026-08-01T00:00:00Z,paper-evidence-v1,0.271333,0.302583,0.42475,20,harness,enabled_fixed_ttl_5s,546f3547b727d08d452e7687191589e35839888285c622e8e639bdc6843d1b6b,artifacts/v0.6-agent-validation-live-origin-certified/reports/federation-latency.json,federation-latency.json:enabled_fixed_ttl_5s:federation,not-applicable,performance-only
